Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Air Quality,PM2.5 Concentration,2014,11.04010029,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,1400000US06037101110,"(34.2595555, -118.293602)",PM2.5_Concentration_2014_1400000US06037101110,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.95372448,"Census Tract 1011.22, Los Angeles County, California",101122,Tujunga,1400000US06037101122,"(34.267357, -118.29024)",PM2.5_Concentration_2014_1400000US06037101122,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.11423953,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,1400000US06037101210,"(34.251998, -118.2926875)",PM2.5_Concentration_2014_1400000US06037101210,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.14308442,"Census Tract 1012.20, Los Angeles County, California",101220,Tujunga,1400000US06037101220,"(34.2511895, -118.281014)",PM2.5_Concentration_2014_1400000US06037101220,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.18952698,"Census Tract 1013, Los Angeles County, California",101300,Tujunga,1400000US06037101300,"(34.2455945, -118.271731)",PM2.5_Concentration_2014_1400000US06037101300,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.21675181,"Census Tract 1014, Los Angeles County, California",101400,Tujunga,1400000US06037101400,"(34.244255, -118.296428)",PM2.5_Concentration_2014_1400000US06037101400,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.28482481,"Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,1400000US06037102103,"(34.224155, -118.354339)",PM2.5_Concentration_2014_1400000US06037102103,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.39135727,"Census Tract 1021.04, Los Angeles County, California",102104,Shadow Hills,1400000US06037102104,"(34.216189, -118.3456235)",PM2.5_Concentration_2014_1400000US06037102104,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.44396506,"Census Tract 1021.05, Los Angeles County, California",102105,Sun Valley,1400000US06037102105,"(34.210852, -118.3480495)",PM2.5_Concentration_2014_1400000US06037102105,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.16243397,"Census Tract 1021.07, Los Angeles County, California",102107,Shadow Hills,1400000US06037102107,"(34.2412955, -118.3292705)",PM2.5_Concentration_2014_1400000US06037102107,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.86473422,"Census Tract 1031.01, Los Angeles County, California",103101,Sunland,1400000US06037103101,"(34.274431, -118.30714)",PM2.5_Concentration_2014_1400000US06037103101,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.97416477,"Census Tract 1031.02, Los Angeles County, California",103102,Sunland,1400000US06037103102,"(34.262834, -118.30683)",PM2.5_Concentration_2014_1400000US06037103102,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.80761263,"Census Tract 1032, Los Angeles County, California",103200,Lake View Terrace,1400000US06037103200,"(34.2745565, -118.3439025)",PM2.5_Concentration_2014_1400000US06037103200,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.94978856,"Census Tract 1033, Los Angeles County, California",103300,Shadow Hills,1400000US06037103300,"(34.255439, -118.3527775)",PM2.5_Concentration_2014_1400000US06037103300,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,11.0556707,"Census Tract 1034, Los Angeles County, California",103400,Sunland,1400000US06037103400,"(34.253933, -118.3147245)",PM2.5_Concentration_2014_1400000US06037103400,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.60618348,"Census Tract 1041.03, Los Angeles County, California",104103,Lake View Terrace,1400000US06037104103,"(34.2819045, -118.3918905)",PM2.5_Concentration_2014_1400000US06037104103,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.6415366,"Census Tract 1041.05, Los Angeles County, California",104105,Pacoima,1400000US06037104105,"(34.276146, -118.404645)",PM2.5_Concentration_2014_1400000US06037104105,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.68761951,"Census Tract 1041.08, Los Angeles County, California",104108,Pacoima,1400000US06037104108,"(34.271671, -118.397614)",PM2.5_Concentration_2014_1400000US06037104108,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.58812977,"Census Tract 1041.24, Los Angeles County, California",104124,Lopez/Kagel Canyons,1400000US06037104124,"(34.287866, -118.376208)",PM2.5_Concentration_2014_1400000US06037104124,1/1/14
