Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date,Neighborhoods_from_gw34_aa8i,Neighborhoods_from_5jp5_kw3x,New Neighborhoods_from_s3dq_ztay,layer_0_from_mgnu_zr5s,layer_0_from_yr99_sgmi,LA Neighborhoods_from_5ikr_59ci,City Boundaries_from_22pk_kkuz,Los Angeles Incorporated Cities,la_county_tracts_from_jczq_z5ui,DPW_CITY_BOUNDARIES_from_dmu2_xaer,Neighborhoods_from_9utn_waje_1,LA County Regions Map,Los Angeles Neighborhood Map,Regions_from_qspe_35qg,Census Tracts_from_jczq_z5ui,Neighborhoods_from_9utn_waje
Health,Asthma,Asthma-Related ER Visits,2014,45.04,"Census Tract 2172, Los Angeles County, California",217200,Mid-Wilshire,1400000US06037217200,"(34.049375, -118.3418365)",Asthma_Related_ER_Visits_2014_1400000US06037217200,01/01/2014,25,25,35,34,34,149,76,76,361,305,155,3,155,3,361,155
Health,Asthma,Asthma-Related ER Visits,2014,32.530584,"Census Tract 2717.01, Los Angeles County, California",271701,Palms,1400000US06037271701,"(34.0262225, -118.419751)",Asthma_Related_ER_Visits_2014_1400000US06037271701,01/01/2014,62,63,63,62,62,170,76,76,1291,305,176,16,176,16,1291,176
Health,Asthma,Asthma-Related ER Visits,2014,46.623591,"Census Tract 1094, Los Angeles County, California",109400,Mission Hills,1400000US06037109400,"(34.269881, -118.4552825)",Asthma_Related_ER_Visits_2014_1400000US06037109400,01/01/2014,240,240,240,241,240,150,76,76,498,305,156,9,156,9,498,156
Health,Asthma,Asthma-Related ER Visits,2014,42.27,"Census Tract 4334.01, Los Angeles County, California",433401,El Monte,1400000US06037433401,"(34.0594255, -118.0425465)",Asthma_Related_ER_Visits_2014_1400000US06037433401,01/01/2014,123,123,126,123,127,73,65,65,635,323,77,10,77,10,635,77
Health,Asthma,Asthma-Related ER Visits,2014,110.062305,"Census Tract 5409.01, Los Angeles County, California",540901,Willowbrook,1400000US06037540901,"(33.919847, -118.273685)",Asthma_Related_ER_Visits_2014_1400000US06037540901,01/01/2014,38,38,38,37,37,268,,,1429,245,268,12,268,12,1429,268
Health,Asthma,Asthma-Related ER Visits,2014,38.159553,"Census Tract 3106.01, Los Angeles County, California",310601,Burbank,1400000US06037310601,"(34.192266, -118.3277625)",Asthma_Related_ER_Visits_2014_1400000US06037310601,01/01/2014,182,182,181,181,185,33,36,36,110,266,28,9,28,9,110,28
Health,Asthma,Asthma-Related ER Visits,2014,42.932445,"Census Tract 5333, Los Angeles County, California",533300,Maywood,1400000US06037533300,"(33.9924535, -118.202177)",Asthma_Related_ER_Visits_2014_1400000US06037533300,01/01/2014,47,47,47,46,46,132,27,27,1701,256,153,14,153,14,1701,153
Health,Asthma,Asthma-Related ER Visits,2014,49.41489,"Census Tract 5032.02, Los Angeles County, California",503202,South Whittier,1400000US06037503202,"(33.9392895, -118.0352025)",Asthma_Related_ER_Visits_2014_1400000US06037503202,01/01/2014,79,81,81,80,80,219,,,479,292,223,14,223,14,479,223
Health,Asthma,Asthma-Related ER Visits,2014,109.011093,"Census Tract 2411.10, Los Angeles County, California",241110,Broadway-Manchester,1400000US06037241110,"(33.936481, -118.271695)",Asthma_Related_ER_Visits_2014_1400000US06037241110,01/01/2014,63,64,57,56,56,32,76,76,1223,305,35,12,35,12,1223,35
Health,Asthma,Asthma-Related ER Visits,2014,33.88,"Census Tract 5738, Los Angeles County, California",573800,Long Beach,1400000US06037573800,"(33.825582, -118.1003275)",Asthma_Related_ER_Visits_2014_1400000US06037573800,01/01/2014,10,10,10,10,10,137,49,49,816,280,144,5,144,5,816,144
Health,Asthma,Asthma-Related ER Visits,2014,42.27,"Census Tract 4340.04, Los Angeles County, California",434004,South El Monte,1400000US06037434004,"(34.040226, -118.0317375)",Asthma_Related_ER_Visits_2014_1400000US06037434004,01/01/2014,141,141,139,136,140,213,63,63,2114,321,217,10,217,10,2114,217
Health,Asthma,Asthma-Related ER Visits,2014,41.61,"Census Tract 5439.03, Los Angeles County, California",543903,Carson,1400000US06037543903,"(33.8318165, -118.2525685)",Asthma_Related_ER_Visits_2014_1400000US06037543903,01/01/2014,57,57,58,57,57,36,50,50,1709,281,38,5,38,5,1709,38
Health,Asthma,Asthma-Related ER Visits,2014,23.413447,"Census Tract 4810.01, Los Angeles County, California",481001,Alhambra,1400000US06037481001,"(34.0872925, -118.1288355)",Asthma_Related_ER_Visits_2014_1400000US06037481001,01/01/2014,160,160,162,160,165,5,30,30,1166,263,5,10,5,10,1166,5
Health,Asthma,Asthma-Related ER Visits,2014,20.58,"Census Tract 2148, Los Angeles County, California",214800,Beverly Grove,1400000US06037214800,"(34.070088, -118.3732965)",Asthma_Related_ER_Visits_2014_1400000US06037214800,01/01/2014,39,39,39,38,38,28,76,76,1848,305,27,3,27,3,1848,27
Health,Asthma,Asthma-Related ER Visits,2014,36.220924,"Census Tract 3023.02, Los Angeles County, California",302302,Glendale,1400000US06037302302,"(34.1401, -118.2624115)",Asthma_Related_ER_Visits_2014_1400000US06037302302,01/01/2014,214,214,216,220,220,86,38,38,256,15,92,15,92,15,256,92
Health,Asthma,Asthma-Related ER Visits,2014,47.71,"Census Tract 5015.01, Los Angeles County, California",501501,Whittier,1400000US06037501501,"(34.002062, -118.0303905)",Asthma_Related_ER_Visits_2014_1400000US06037501501,01/01/2014,23,23,22,22,22,266,80,80,1033,160,266,10,266,10,1033,266
Health,Asthma,Asthma-Related ER Visits,2014,36.004964,"Census Tract 1834.02, Los Angeles County, California",183402,Eagle Rock,1400000US06037183402,"(34.125651, -118.216654)",Asthma_Related_ER_Visits_2014_1400000US06037183402,01/01/2014,149,149,157,154,154,65,76,76,1195,305,68,6,68,6,1195,68
Health,Asthma,Asthma-Related ER Visits,2014,36.817741,"Census Tract 4625, Los Angeles County, California",462500,Pasadena,1400000US06037462500,"(34.1667025, -118.1045445)",Asthma_Related_ER_Visits_2014_1400000US06037462500,01/01/2014,251,251,252,250,254,175,41,41,2093,159,183,15,183,15,2093,183
Health,Asthma,Asthma-Related ER Visits,2014,59.674955,"Census Tract 1198, Los Angeles County, California",119800,Arleta,1400000US06037119800,"(34.2337665, -118.429943)",Asthma_Related_ER_Visits_2014_1400000US06037119800,01/01/2014,162,162,164,172,161,10,76,76,762,305,11,9,11,9,762,11
Health,Asthma,Asthma-Related ER Visits,2014,75.43053399999999,"Census Tract 5703.01, Los Angeles County, California",570301,Long Beach,1400000US06037570301,"(33.8721785, -118.1905275)",Asthma_Related_ER_Visits_2014_1400000US06037570301,01/01/2014,10,10,10,10,10,137,49,49,900,280,144,5,144,5,900,144
Health,Asthma,Asthma-Related ER Visits,2014,39.213639,"Census Tract 4059, Los Angeles County, California",405900,Covina,1400000US06037405900,"(34.103067, -117.8901905)",Asthma_Related_ER_Visits_2014_1400000US06037405900,01/01/2014,4,4,4,4,4,56,42,42,985,271,58,10,58,10,985,58
Health,Asthma,Asthma-Related ER Visits,2014,43.043189,"Census Tract 4047.03, Los Angeles County, California",404703,Baldwin Park,1400000US06037404703,"(34.064135, -117.9894555)",Asthma_Related_ER_Visits_2014_1400000US06037404703,01/01/2014,69,70,69,68,68,20,70,70,1173,331,20,10,20,10,1173,20
Health,Asthma,Asthma-Related ER Visits,2014,102.747806,"Census Tract 2362.02, Los Angeles County, California",236202,Baldwin Hills/Crenshaw,1400000US06037236202,"(34.0167105, -118.352691)",Asthma_Related_ER_Visits_2014_1400000US06037236202,01/01/2014,246,246,247,249,249,19,76,76,679,305,19,12,19,12,679,19
Health,Asthma,Asthma-Related ER Visits,2014,36.119408,"Census Tract 1134.21, Los Angeles County, California",113421,Winnetka,1400000US06037113421,"(34.234694, -118.5826685)",Asthma_Related_ER_Visits_2014_1400000US06037113421,01/01/2014,216,216,218,222,222,271,76,76,777,305,271,9,271,9,777,271
Health,Asthma,Asthma-Related ER Visits,2014,44.067139,"Census Tract 5002.02, Los Angeles County, California",500202,Whittier,1400000US06037500202,"(33.960745, -117.9971245)",Asthma_Related_ER_Visits_2014_1400000US06037500202,01/01/2014,23,23,22,22,22,266,80,80,1392,160,266,10,266,10,1392,266
Health,Asthma,Asthma-Related ER Visits,2014,35.293271,"Census Tract 5355.02, Los Angeles County, California",535502,South Gate,1400000US06037535502,"(33.9615415, -118.215306)",Asthma_Related_ER_Visits_2014_1400000US06037535502,01/01/2014,244,244,244,244,245,214,22,22,266,250,218,14,218,14,266,218
Health,Asthma,Asthma-Related ER Visits,2014,48.146208,"Census Tract 5535.03, Los Angeles County, California",553503,Paramount,1400000US06037553503,"(33.9130005, -118.153897)",Asthma_Related_ER_Visits_2014_1400000US06037553503,01/01/2014,255,255,255,256,256,173,51,51,844,284,178,14,178,14,844,178
Health,Asthma,Asthma-Related ER Visits,2014,37.825711,"Census Tract 1974.20, Los Angeles County, California",197420,Echo Park,1400000US06037197420,"(34.082834, -118.2561185)",Asthma_Related_ER_Visits_2014_1400000US06037197420,01/01/2014,151,151,150,147,148,63,76,76,1026,305,76,3,76,3,1026,76
Health,Asthma,Asthma-Related ER Visits,2014,44.572661,"Census Tract 5320.01, Los Angeles County, California",532001,Montebello,1400000US06037532001,"(34.0054385, -118.1232295)",Asthma_Related_ER_Visits_2014_1400000US06037532001,01/01/2014,265,265,265,266,265,153,67,67,1965,326,160,14,160,14,1965,160
Health,Asthma,Asthma-Related ER Visits,2014,53.126114,"Census Tract 4024.05, Los Angeles County, California",402405,Pomona,1400000US06037402405,"(34.0672095, -117.795189)",Asthma_Related_ER_Visits_2014_1400000US06037402405,01/01/2014,48,48,48,47,47,178,66,66,263,324,184,7,184,7,263,184
Health,Asthma,Asthma-Related ER Visits,2014,20.390634,"Census Tract 1436.04, Los Angeles County, California",143604,Studio City,1400000US06037143604,"(34.1406405, -118.369959)",Asthma_Related_ER_Visits_2014_1400000US06037143604,01/01/2014,129,129,131,128,132,222,76,76,1590,305,226,9,226,9,1590,226
Health,Asthma,Asthma-Related ER Visits,2014,38.599991,"Census Tract 5506.01, Los Angeles County, California",550601,Downey,1400000US06037550601,"(33.961915, -118.11743)",Asthma_Related_ER_Visits_2014_1400000US06037550601,01/01/2014,200,200,201,202,204,61,84,84,1716,296,65,14,65,14,1716,65
Health,Asthma,Asthma-Related ER Visits,2014,32.342542,"Census Tract 4082.02, Los Angeles County, California",408202,Industry,1400000US06037408202,"(34.021924, -117.9637775)",Asthma_Related_ER_Visits_2014_1400000US06037408202,01/01/2014,7,7,7,7,7,111,69,69,1939,329,121,10,121,10,1939,121
Health,Asthma,Asthma-Related ER Visits,2014,12.795723,"Census Tract 2653.01, Los Angeles County, California",265301,Westwood,1400000US06037265301,"(34.0709425, -118.4463495)",Asthma_Related_ER_Visits_2014_1400000US06037265301,01/01/2014,111,113,114,111,113,265,76,76,1240,305,265,16,265,16,1240,265
Health,Asthma,Asthma-Related ER Visits,2014,31.247154,"Census Tract 2737, Los Angeles County, California",273700,Venice,1400000US06037273700,"(33.99869, -118.452731)",Asthma_Related_ER_Visits_2014_1400000US06037273700,01/01/2014,16,16,16,16,16,240,76,76,1504,305,245,16,245,16,1504,245
Health,Asthma,Asthma-Related ER Visits,2014,29.66,"Census Tract 1413.02, Los Angeles County, California",141302,Sherman Oaks,1400000US06037141302,"(34.152885, -118.4630195)",Asthma_Related_ER_Visits_2014_1400000US06037141302,01/01/2014,264,264,264,264,264,206,76,76,1137,305,211,9,211,9,1137,211
Health,Asthma,Asthma-Related ER Visits,2014,20.609092,"Census Tract 2147, Los Angeles County, California",214700,Beverly Grove,1400000US06037214700,"(34.0665205, -118.366383)",Asthma_Related_ER_Visits_2014_1400000US06037214700,01/01/2014,39,39,39,38,38,28,76,76,77,305,27,3,27,3,77,27
Health,Asthma,Asthma-Related ER Visits,2014,26.177691,"Census Tract 3102.01, Los Angeles County, California",310201,Burbank,1400000US06037310201,"(34.1922185, -118.304543)",Asthma_Related_ER_Visits_2014_1400000US06037310201,01/01/2014,182,182,181,181,185,33,36,36,910,266,28,9,28,9,910,28
Health,Asthma,Asthma-Related ER Visits,2014,51.78,"Census Tract 1310.20, Los Angeles County, California",131020,Reseda,1400000US06037131020,"(34.1992525, -118.5399945)",Asthma_Related_ER_Visits_2014_1400000US06037131020,01/01/2014,180,180,30,179,172,186,76,76,2223,305,190,9,190,9,2223,190
Health,Asthma,Asthma-Related ER Visits,2014,103,"Census Tract 5752.01, Los Angeles County, California",575201,Long Beach,1400000US06037575201,"(33.786226, -118.1763345)",Asthma_Related_ER_Visits_2014_1400000US06037575201,01/01/2014,10,10,10,10,10,137,49,49,162,280,144,5,144,5,162,144
Health,Asthma,Asthma-Related ER Visits,2014,28.874484,"Census Tract 2717.02, Los Angeles County, California",271702,Palms,1400000US06037271702,"(34.025252, -118.426283)",Asthma_Related_ER_Visits_2014_1400000US06037271702,01/01/2014,62,63,63,62,62,170,76,76,805,305,176,16,176,16,805,176
Health,Asthma,Asthma-Related ER Visits,2014,31.59,"Census Tract 5711.01, Los Angeles County, California",571101,Lakewood,1400000US06037571101,"(33.8432775, -118.1163045)",Asthma_Related_ER_Visits_2014_1400000US06037571101,01/01/2014,9,9,9,9,9,123,48,48,566,267,131,5,131,5,566,131
Health,Asthma,Asthma-Related ER Visits,2014,42.393663,"Census Tract 4331.02, Los Angeles County, California",433102,El Monte,1400000US06037433102,"(34.0656045, -118.059547)",Asthma_Related_ER_Visits_2014_1400000US06037433102,01/01/2014,123,123,126,123,127,73,65,65,1076,323,77,10,77,10,1076,77
Health,Asthma,Asthma-Related ER Visits,2014,58.629494,"Census Tract 2043, Los Angeles County, California",204300,Boyle Heights,1400000US06037204300,"(34.038738, -118.208061)",Asthma_Related_ER_Visits_2014_1400000US06037204300,01/01/2014,73,76,75,74,74,21,76,76,2158,305,32,4,32,4,2158,32
Health,Asthma,Asthma-Related ER Visits,2014,75.43000000000001,"Census Tract 5717.03, Los Angeles County, California",571703,Long Beach,1400000US06037571703,"(33.8490335, -118.1920015)",Asthma_Related_ER_Visits_2014_1400000US06037571703,01/01/2014,10,10,10,10,10,137,49,49,905,280,144,5,144,5,905,144
Health,Asthma,Asthma-Related ER Visits,2014,32.27,"Census Tract 4013.12, Los Angeles County, California",401312,San Dimas,1400000US06037401312,"(34.097563, -117.828443)",Asthma_Related_ER_Visits_2014_1400000US06037401312,01/01/2014,137,137,134,131,135,193,78,78,1943,334,199,10,199,10,1943,199
Health,Asthma,Asthma-Related ER Visits,2014,43.14,"Census Tract 2948.10, Los Angeles County, California",294810,Wilmington,1400000US06037294810,"(33.779492, -118.271558)",Asthma_Related_ER_Visits_2014_1400000US06037294810,01/01/2014,150,150,149,146,147,269,76,76,105,305,269,5,269,5,105,269
Health,Asthma,Asthma-Related ER Visits,2014,37.38,"Census Tract 1957.10, Los Angeles County, California",195710,Echo Park,1400000US06037195710,"(34.0748915, -118.2684815)",Asthma_Related_ER_Visits_2014_1400000US06037195710,01/01/2014,151,151,150,147,148,63,76,76,1528,305,76,3,76,3,1528,76
Health,Asthma,Asthma-Related ER Visits,2014,45.378135,"Census Tract 1281.01, Los Angeles County, California",128101,Valley Glen,1400000US06037128101,"(34.1902995, -118.4356175)",Asthma_Related_ER_Visits_2014_1400000US06037128101,01/01/2014,136,136,147,144,159,237,76,76,38,305,240,9,240,9,38,240
Health,Asthma,Asthma-Related ER Visits,2014,54.333375,"Census Tract 2913, Los Angeles County, California",291300,Gardena,1400000US06037291300,"(33.8659415, -118.295352)",Asthma_Related_ER_Visits_2014_1400000US06037291300,01/01/2014,17,17,98,96,67,84,71,71,893,300,88,13,88,13,893,88
Health,Asthma,Asthma-Related ER Visits,2014,38.77,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,1400000US06037101110,"(34.2595555, -118.293602)",Asthma_Related_ER_Visits_2014_1400000US06037101110,01/01/2014,148,148,148,145,145,232,76,76,496,305,236,15,236,15,496,236
Health,Asthma,Asthma-Related ER Visits,2014,43.415935,"Census Tract 4052.01, Los Angeles County, California",405201,Baldwin Park,1400000US06037405201,"(34.0849785, -117.9522585)",Asthma_Related_ER_Visits_2014_1400000US06037405201,01/01/2014,69,70,69,68,68,20,70,70,1647,331,20,10,20,10,1647,20
Health,Asthma,Asthma-Related ER Visits,2014,124.8,"Census Tract 2380, Los Angeles County, California",238000,Gramercy Park,1400000US06037238000,"(33.945472, -118.3089905)",Asthma_Related_ER_Visits_2014_1400000US06037238000,01/01/2014,100,101,103,101,101,88,76,76,1264,305,94,12,94,12,1264,94
Health,Asthma,Asthma-Related ER Visits,2014,36.811677,"Census Tract 2087.10, Los Angeles County, California",208710,Westlake,1400000US06037208710,"(34.065666, -118.282003)",Asthma_Related_ER_Visits_2014_1400000US06037208710,01/01/2014,166,166,167,164,170,258,76,76,1874,305,258,3,258,3,1874,258
Health,Asthma,Asthma-Related ER Visits,2014,73.33540600000001,"Census Tract 2200, Los Angeles County, California",220000,West Adams,1400000US06037220000,"(34.0276275, -118.3405665)",Asthma_Related_ER_Visits_2014_1400000US06037220000,01/01/2014,30,30,29,29,29,251,76,76,364,305,158,12,158,12,364,158
Health,Asthma,Asthma-Related ER Visits,2014,39.222076,"Census Tract 5700.03, Los Angeles County, California",570003,Lakewood,1400000US06037570003,"(33.8646165, -118.1402795)",Asthma_Related_ER_Visits_2014_1400000US06037570003,01/01/2014,9,9,9,9,9,123,48,48,565,267,131,5,131,5,565,131
Health,Asthma,Asthma-Related ER Visits,2014,17.350268,"Census Tract 4317, Los Angeles County, California",431700,Arcadia,1400000US06037431700,"(34.121786, -118.0430065)",Asthma_Related_ER_Visits_2014_1400000US06037431700,01/01/2014,190,190,189,187,193,9,16,16,13,232,10,10,10,10,13,10
Health,Asthma,Asthma-Related ER Visits,2014,67.864165,"Census Tract 6006.02, Los Angeles County, California",600602,Inglewood,1400000US06037600602,"(33.941607, -118.3307755)",Asthma_Related_ER_Visits_2014_1400000US06037600602,01/01/2014,8,8,8,8,8,112,25,25,705,253,118,13,118,13,705,118
Health,Asthma,Asthma-Related ER Visits,2014,27.89,"Census Tract 1132.12, Los Angeles County, California",113212,Chatsworth,1400000US06037113212,"(34.2608605, -118.6035245)",Asthma_Related_ER_Visits_2014_1400000US06037113212,01/01/2014,164,164,165,162,168,45,76,76,215,305,41,9,41,9,215,41
Health,Asthma,Asthma-Related ER Visits,2014,57.187748,"Census Tract 5315.03, Los Angeles County, California",531503,East Los Angeles,1400000US06037531503,"(34.0294235, -118.1749085)",Asthma_Related_ER_Visits_2014_1400000US06037531503,01/01/2014,43,43,42,41,41,69,,,674,220,73,4,73,4,674,73
Health,Asthma,Asthma-Related ER Visits,2014,61.58,"Census Tract 5317.01, Los Angeles County, California",531701,East Los Angeles,1400000US06037531701,"(34.0216845, -118.152093)",Asthma_Related_ER_Visits_2014_1400000US06037531701,01/01/2014,43,43,42,41,41,69,,,1694,220,73,4,73,4,1694,73
Health,Asthma,Asthma-Related ER Visits,2014,57.438709,"Census Tract 4027.02, Los Angeles County, California",402702,Pomona,1400000US06037402702,"(34.064005, -117.726868)",Asthma_Related_ER_Visits_2014_1400000US06037402702,01/01/2014,48,48,48,47,47,178,66,66,1945,324,184,7,184,7,1945,184
