Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Health,Asthma,Asthma-Related ER Visits,2014,45.04,"Census Tract 2172, Los Angeles County, California",217200,Mid-Wilshire,1400000US06037217200,"(34.049375, -118.3418365)",Asthma_Related_ER_Visits_2014_1400000US06037217200,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,32.530584,"Census Tract 2717.01, Los Angeles County, California",271701,Palms,1400000US06037271701,"(34.0262225, -118.419751)",Asthma_Related_ER_Visits_2014_1400000US06037271701,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,46.623591,"Census Tract 1094, Los Angeles County, California",109400,Mission Hills,1400000US06037109400,"(34.269881, -118.4552825)",Asthma_Related_ER_Visits_2014_1400000US06037109400,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,42.27,"Census Tract 4334.01, Los Angeles County, California",433401,El Monte,1400000US06037433401,"(34.0594255, -118.0425465)",Asthma_Related_ER_Visits_2014_1400000US06037433401,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,110.062305,"Census Tract 5409.01, Los Angeles County, California",540901,Willowbrook,1400000US06037540901,"(33.919847, -118.273685)",Asthma_Related_ER_Visits_2014_1400000US06037540901,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,38.159553,"Census Tract 3106.01, Los Angeles County, California",310601,Burbank,1400000US06037310601,"(34.192266, -118.3277625)",Asthma_Related_ER_Visits_2014_1400000US06037310601,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,42.932445,"Census Tract 5333, Los Angeles County, California",533300,Maywood,1400000US06037533300,"(33.9924535, -118.202177)",Asthma_Related_ER_Visits_2014_1400000US06037533300,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,49.41489,"Census Tract 5032.02, Los Angeles County, California",503202,South Whittier,1400000US06037503202,"(33.9392895, -118.0352025)",Asthma_Related_ER_Visits_2014_1400000US06037503202,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,109.011093,"Census Tract 2411.10, Los Angeles County, California",241110,Broadway-Manchester,1400000US06037241110,"(33.936481, -118.271695)",Asthma_Related_ER_Visits_2014_1400000US06037241110,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,33.88,"Census Tract 5738, Los Angeles County, California",573800,Long Beach,1400000US06037573800,"(33.825582, -118.1003275)",Asthma_Related_ER_Visits_2014_1400000US06037573800,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,42.27,"Census Tract 4340.04, Los Angeles County, California",434004,South El Monte,1400000US06037434004,"(34.040226, -118.0317375)",Asthma_Related_ER_Visits_2014_1400000US06037434004,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,41.61,"Census Tract 5439.03, Los Angeles County, California",543903,Carson,1400000US06037543903,"(33.8318165, -118.2525685)",Asthma_Related_ER_Visits_2014_1400000US06037543903,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,23.413447,"Census Tract 4810.01, Los Angeles County, California",481001,Alhambra,1400000US06037481001,"(34.0872925, -118.1288355)",Asthma_Related_ER_Visits_2014_1400000US06037481001,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,20.58,"Census Tract 2148, Los Angeles County, California",214800,Beverly Grove,1400000US06037214800,"(34.070088, -118.3732965)",Asthma_Related_ER_Visits_2014_1400000US06037214800,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,36.220924,"Census Tract 3023.02, Los Angeles County, California",302302,Glendale,1400000US06037302302,"(34.1401, -118.2624115)",Asthma_Related_ER_Visits_2014_1400000US06037302302,01/01/2014
Health,Asthma,Asthma-Related ER Visits,2014,47.71,"Census Tract 5015.01, Los Angeles County, California",501501,Whittier,1400000US06037501501,"(34.002062, -118.0303905)",Asthma_Related_ER_Visits_2014_1400000US06037501501,01/01/2014
